State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,15.0
Wyoming,39.0,10.0
Wyoming,88.0,18.0
Wyoming,77.0,13.0
Wyoming,326.0,45.0
Wyoming,85.0,11.0
Wyoming,49.0,12.0
Wyoming,8.0,0.0
Wyoming,16.0,5.0
Wyoming,225.0,40.0
Wyoming,108.0,26.0
Wyoming,19.0,4.0
Wyoming,85.0,10.0
Wyoming,33.0,0.0
Wyoming,206.0,27.0
Wyoming,118.0,16.0
Wyoming,76.0,73.0
Wyoming,69.0,9.0
Wyoming,111.0,16.0
Wyoming,54.0,14.0
Wyoming,20.0,3.0
Wyoming,71.0,18.0
Wyoming,146.0,23.0
Wyoming,70.0,9.0
Wyoming,106.0,12.0
Wyoming,68.0,13.0
Wyoming,36.0,0.0
Wyoming,139.0,26.0
Wyoming,30.0,5.0
Wyoming,54.0,7.0
Wyoming,6.0,0.0
Wyoming,81.0,16.0
Wyoming,38.0,10.0
Wyoming,38.0,5.0
Wyoming,182.0,37.0
Wyoming,161.0,23.0
Wyoming,94.0,21.0
Wyoming,47.0,0.0
Wyoming,221.0,39.0
Wyoming,9.0,0.0
Wyoming,69.0,10.0
Wyoming,36.0,7.0
Wyoming,138.0,30.0
Wyoming,461.0,89.0
Wyoming,41.0,7.0
Wyoming,107.0,14.0
Wyoming,12.0,0.0
Wyoming,104.0,9.0
Wyoming,91.0,10.0
Wyoming,95.0,10.0
Wyoming,33.0,5.0
