State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,14.0
Alaska,31.0,3.0
Arkansas,63.0,12.0
Arizona,60.0,7.0
California,375.0,58.0
Colorado,82.0,21.0
Connecticut,36.0,8.0
Delaware,14.0,0.0
District of Columbia,11.0,4.0
Unnamed: 3,218.0,55.0
Georgia,101.0,17.0
Hawaii,20.0,6.0
Iowa,97.0,14.0
Idaho,19.0,0.0
Illinois,146.0,16.0
Indiana,115.0,20.0
Kansas,76.0,47.0
Kentucky,91.0,16.0
Louisiana,116.0,24.0
Massachusetts,44.0,11.0
Maine,19.0,3.0
Maryland,72.0,17.0
Michigan,137.0,19.0
Minnesota,70.0,13.0
Missouri,88.0,12.0
Mississippi,63.0,14.0
Montana,34.0,3.0
North Carolina,146.0,18.0
North Dakota,65.0,25.0
Nebraska,48.0,9.0
New Hampshire,14.0,4.0
New Jersey,92.0,14.0
New Mexico,39.0,10.0
Nevada,42.0,0.0
New York,202.0,38.0
Ohio,161.0,29.0
Oklahoma,97.0,12.0
Oregon,43.0,5.0
Pennsylvania,194.0,29.0
Rhode Island,8.0,0.0
South Carolina,63.0,12.0
South Dakota,31.0,7.0
Tennessee,101.0,18.0
Texas,536.0,105.0
Utah,39.0,6.0
Virginia,149.0,34.0
Vermont,11.0,0.0
Washington,67.0,9.0
Wisconsin,114.0,11.0
West Virginia,49.0,4.0
Wyoming,35.0,3.0
