State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,15.0
Wyoming,32.0,0.0
Wyoming,63.0,13.0
Wyoming,95.0,13.0
Wyoming,396.0,61.0
Wyoming,65.0,16.0
Wyoming,29.0,8.0
Wyoming,11.0,0.0
Wyoming,25.0,2.0
Unnamed: 4,239.0,54.0
Wyoming,117.0,23.0
Wyoming,11.0,3.0
Wyoming,72.0,12.0
Wyoming,30.0,4.0
Wyoming,176.0,28.0
Wyoming,127.0,15.0
Wyoming,55.0,3.0
Wyoming,86.0,16.0
Wyoming,114.0,17.0
Wyoming,57.0,14.0
Wyoming,19.0,4.0
Wyoming,79.0,18.0
Wyoming,135.0,19.0
Wyoming,69.0,11.0
Wyoming,118.0,19.0
Wyoming,68.0,6.0
Wyoming,28.0,3.0
Wyoming,109.0,21.0
Wyoming,56.0,11.0
Wyoming,39.0,7.0
Wyoming,14.0,4.0
Wyoming,102.0,15.0
Wyoming,54.0,10.0
Wyoming,42.0,7.0
Wyoming,178.0,40.0
Wyoming,149.0,19.0
Wyoming,92.0,23.0
Wyoming,49.0,9.0
Wyoming,183.0,26.0
Wyoming,10.0,0.0
Wyoming,75.0,20.0
Wyoming,20.0,5.0
Wyoming,95.0,17.0
Wyoming,508.0,116.0
Wyoming,37.0,8.0
Wyoming,128.0,28.0
Wyoming,7.0,0.0
Wyoming,56.0,7.0
Wyoming,97.0,11.0
Wyoming,61.0,7.0
Wyoming,26.0,0.0
