State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,41920,31550,1863152,10,38990,35710,97730,6,92,14,18.5
Alaska,55760,46420,304538,19,65300,63530,18874,26,14,3,10.3
Arizona,45310,34680,2661422,5,42770,38580,145217,6,69,12,17.4
Arkansas,38540,29420,1156533,5,36110,33220,57628,2,74,8,19.1
California,55260,39830,15662847,15,55240,51160,820015,18,388,75,15.3
Colorado,51180,38800,2314303,8,45080,41570,165983,8,75,21,11.5
Connecticut,56280,43830,1586095,16,53810,52340,58401,10,44,13,10.5
Delaware,50300,37750,411439,9,47180,43790,22047,8,8,0,12.4
Georgia,45420,33430,4018507,4,38540,35080,242195,2,180,38,17.0
Hawaii,47740,38750,583012,20,61930,61210,36449,37,18,3,10.6
Idaho,40810,31860,678962,6,39870,36720,40176,8,36,3,15.1
Illinois,49970,37320,5565668,15,61070,61160,228343,36,172,38,13.6
Indiana,42070,32910,2826928,10,49030,45320,134074,20,115,11,14.5
Iowa,41840,33650,1434629,9,43500,40560,72017,17,60,12,12.2
Kansas,42930,33700,1257111,8,43290,38310,60470,18,60,0,13.0
Kentucky,40880,32340,1704091,11,42800,39360,75789,19,99,12,18.5
Louisiana,40810,31980,1844385,5,42230,38730,131995,6,112,28,19.6
Maine,43260,34710,548918,11,40470,38450,18801,5,15,3,13.4
Maryland,54630,41860,2752400,10,47290,43120,156790,13,69,18,9.7
Massachusetts,59010,45580,3104348,13,59630,56240,148395,16,69,22,11.5
Michigan,46310,35400,4086105,15,48440,45690,165351,23,134,22,15.8
Minnesota,49740,38870,2562291,14,54010,52270,115910,29,74,9,10.2
Mississippi,37620,29000,1104389,5,38020,35100,49313,6,77,13,22.0
Missouri,43640,33380,2616990,8,50080,47010,137029,25,117,14,14.8
Montana,40620,31970,427087,12,47230,44710,26080,5,36,4,14.6
Nebraska,42630,33840,881645,7,40520,36920,53994,10,60,5,12.6
Nevada,42800,33700,1231192,14,49040,45520,82050,19,44,9,14.7
New Hampshire,48710,37280,641280,9,44450,42240,31985,7,18,4,8.2
New Jersey,54950,41320,3877477,15,58650,54670,182411,18,97,22,10.8
New Mexico,43170,32320,781344,6,41020,36660,39858,7,35,3,20.4
New York,57030,41600,8248740,24,61610,54820,393582,29,236,53,15.4
North Carolina,44170,33100,4094176,3,37520,34780,245797,0,150,30,16.4
North Dakota,45660,38170,351461,5,52080,47340,22054,7,47,7,11.0
Ohio,44750,35030,4919534,12,46650,44490,178207,21,202,37,14.8
Oklahoma,41820,32430,1570310,5,40780,37110,83416,5,91,20,16.1
Oregon,48100,37080,1586372,14,49750,45770,66603,12,44,6,15.4
Pennsylvania,46550,36150,5604169,13,48900,44610,245440,20,173,35,13.2
Rhode Island,50780,39050,482664,14,49050,46350,17552,12,6,0,13.9
South Carolina,40580,31280,1961047,2,38370,35340,112006,1,117,24,16.6
South Dakota,38820,30780,382252,5,37140,34460,21746,6,21,0,13.7
Tennessee,41300,31820,2689593,5,38990,35660,142374,8,112,16,16.7
Texas,46560,34550,11173521,4,41590,36320,840948,2,527,124,15.9
Utah,44130,33990,1277398,3,41730,38250,86059,3,42,12,11.3
Vermont,46060,37040,284201,12,42600,40390,14733,6,9,2,10.2
Virginia,51670,38180,3735236,5,42360,39050,205760,3,106,25,11.2
Washington,54010,42190,2981439,16,55810,52480,167866,21,70,9,12.2
West Virginia,39100,30240,663872,12,44260,39770,32114,18,35,6,17.9
Wisconsin,43930,35110,2682151,8,50510,47590,99577,18,104,10,12.1
Wyoming,45850,38280,261398,7,49660,46530,17649,6,34,4,11.1
