State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,41920,31550,1863152,10,38990,35710,97730,6,92,15,1
Wyoming,45850,38280,261398,7,49660,46530,17649,6,14,3,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,74,8,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,69,12,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,388,75,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,75,21,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,44,13,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,8,0,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,8,3,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,180,38,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,18,3,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,60,12,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,36,3,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,172,38,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,115,11,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,60,0,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,99,12,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,112,28,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,69,22,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,15,3,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,69,18,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,134,22,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,74,9,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,117,14,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,77,13,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,36,4,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,150,30,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,47,7,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,60,5,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,18,4,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,97,22,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,35,3,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,44,9,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,236,53,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,202,37,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,91,20,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,44,6,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,173,35,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,6,0,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,117,24,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,21,0,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,112,16,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,527,124,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,42,12,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,106,25,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,9,2,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,70,9,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,104,10,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,35,6,0
Wyoming,45850,38280,261398,7,49660,46530,17649,6,34,4,0
