State,2010_Total_Pop,2010_Pop_Below_Pov,2010_Pct_Below_Pov
Alabama,4666970,888290,19.0
Alaska,696822,69279,9.9
Arizona,6272686,1094249,17.4
Arkansas,2839798,534898,18.8
California,36593372,5783043,15.8
Colorado,4934178,659786,13.4
Connecticut,3466977,350145,10.1
Delaware,874321,103427,11.8
District of Columbia,570953,109423,19.2
Florida,18436788,3047343,16.5
Georgia,9446906,1688932,17.9
Hawaii,1326373,142185,10.7
Idaho,1541860,242272,15.7
Illinois,12543457,1731711,13.8
Indiana,6294417,962775,15.3
Iowa,2950251,370507,12.6
Kansas,2775355,377530,13.6
Kentucky,4215643,800226,19.0
Louisiana,4413890,825144,18.7
Maine,1293012,167242,12.9
Maryland,5643821,557140,9.9
Massachusetts,6333611,725143,11.4
Michigan,9656449,1618257,16.8
Minnesota,5189200,599516,11.6
Mississippi,2875594,643883,22.4
Missouri,5817852,888570,15.3
Montana,964509,140969,14.6
Nebraska,1776166,229923,12.9
Nevada,2666662,398027,14.9
New Hampshire,1276614,105786,8.3
New Jersey,8626524,884789,10.3
New Mexico,2024716,413851,20.4
New York,18879810,2821470,14.9
North Carolina,9304553,1627602,17.5
North Dakota,651415,84895,13.0
Ohio,11224969,1779032,15.8
Oklahoma,3646849,616610,16.9
Oregon,3765919,596408,15.8
Pennsylvania,12298955,1648184,13.4
Rhode Island,1012200,142188,14.0
South Carolina,4493865,815755,18.2
South Dakota,788226,113760,14.4
Tennessee,6195120,1095466,17.7
Texas,24652927,4414481,17.9
Utah,2730176,359242,13.2
Vermont,600850,76352,12.7
Virginia,7780635,861969,11.1
Washington,6615922,888718,13.4
West Virginia,1799960,326507,18.1
Wisconsin,5535803,731479,13.2
Wyoming,551120,61577,11.2
