State,2012_Total_Pop,2012_Pop_Below_Pov,2012_Pct_Below_Pov
Alabama,4706978,892564,19.0
Alaska,715608,72400,10.1
Arizona,6401273,1194506,18.7
Arkansas,2865098,568065,19.8
California,37303266,6325319,17.0
Colorado,5069071,694842,13.7
Connecticut,3484178,372390,10.7
Delaware,890738,107307,12.0
District of Columbia,598151,108732,18.2
Florida,18912479,3238581,17.1
Georgia,9652596,1848533,19.2
Hawaii,1356822,157243,11.6
Idaho,1565511,248494,15.9
Illinois,12573676,1850562,14.7
Indiana,6342423,990325,15.6
Iowa,2974225,377484,12.7
Kansas,2802207,391734,14.0
Kentucky,4247103,823197,19.4
Louisiana,4471142,891981,19.9
Maine,1293457,189786,14.7
Maryland,5744445,590803,10.3
Massachusetts,6414762,762645,11.9
Michigan,9663760,1685178,17.4
Minnesota,5257443,598371,11.4
Mississippi,2890890,698252,24.2
Missouri,5838008,947792,16.2
Montana,980594,152199,15.5
Nebraska,1800904,233973,13.0
Nevada,2718565,446840,16.4
New Hampshire,1280027,128466,10.0
New Jersey,8691673,934943,10.8
New Mexico,2044778,426245,20.8
New York,19064064,3025016,15.9
North Carolina,9498993,1713132,18.0
North Dakota,674852,75703,11.2
Ohio,11227482,1824628,16.3
Oklahoma,3699653,637429,17.2
Oregon,3826398,658359,17.2
Pennsylvania,12353867,1693285,13.7
Rhode Island,1010449,138907,13.7
South Carolina,4585454,837770,18.3
South Dakota,804310,107846,13.4
Tennessee,6295994,1129330,17.9
Texas,25450518,4562352,17.9
Utah,2806020,360017,12.8
Vermont,601611,71084,11.8
Virginia,7936903,931805,11.7
Washington,6761934,915278,13.5
West Virginia,1801131,320055,17.8
Wisconsin,5573134,737356,13.2
Wyoming,561445,71019,12.6
