State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,809,420",18.84,14.35,"39,180","29,850"
Alabama,Construction/Extraction,"78,110",17.08,15.64,"35,530","32,520"
Alaska,All,"313,170",24.80,20.65,"51,590","42,960"
Alaska,Construction/Extraction,"20,150",29.25,28.64,"60,830","59,560"
Arizona,All,"2,380,200",21.00,16.40,"43,670","34,110"
Arizona,Construction/Extraction,"97,420",19.60,18.09,"40,770","37,620"
Arkansas,All,"1,139,670",17.47,13.68,"36,340","28,460"
Arkansas,Construction/Extraction,"46,740",16.70,15.58,"34,730","32,400"
California,All,"14,038,950",24.96,18.52,"51,910","38,530"
California,Construction/Extraction,"458,240",25.56,24.10,"53,160","50,140"
Colorado,All,"2,179,060",22.84,17.82,"47,510","37,070"
Colorado,Construction/Extraction,"103,900",20.92,19.12,"43,510","39,780"
Connecticut,All,"1,608,820",25.40,19.87,"52,830","41,320"
Connecticut,Construction/Extraction,"44,980",25.16,24.28,"52,330","50,510"
Delaware,All,"403,430",22.80,17.40,"47,420","36,180"
Delaware,Construction/Extraction,"16,060",21.69,20.25,"45,110","42,120"
District of Columbia,All,"644,730",35.84,29.41,"74,540","61,180"
District of Columbia,Construction/Extraction,"10,770",26.12,25.36,"54,320","52,750"
Florida,All,"7,151,700",19.59,14.79,"40,750","30,770"
Florida,Construction/Extraction,"254,690",17.73,16.35,"36,880","34,000"
Georgia,All,"3,779,250",20.48,15.25,"42,590","31,720"
Georgia,Construction/Extraction,"122,450",17.92,16.28,"37,280","33,870"
Hawaii,All,"577,220",21.44,17.44,"44,600","36,270"
Hawaii,Construction/Extraction,"25,040",29.11,29.32,"60,550","60,990"
Idaho,All,"592,730",18.52,14.51,"38,520","30,170"
Idaho,Construction/Extraction,"28,080",18.49,17.30,"38,460","35,980"
Illinois,All,"5,574,180",22.38,16.95,"46,550","35,260"
Illinois,Construction/Extraction,"201,230",26.06,25.84,"54,210","53,750"
Indiana,All,"2,758,100",19.08,15.04,"39,700","31,280"
Indiana,Construction/Extraction,"107,850",22.05,20.32,"45,870","42,270"
Iowa,All,"1,449,110",18.66,14.99,"38,820","31,180"
Iowa,Construction/Extraction,"57,910",19.39,18.12,"40,330","37,690"
Kansas,All,"1,308,070",19.24,14.82,"40,030","30,820"
Kansas,Construction/Extraction,"57,610",19.17,17.11,"39,880","35,590"
Kentucky,All,"1,732,870",18.58,14.62,"38,640","30,420"
Kentucky,Construction/Extraction,"69,820",18.67,17.62,"38,840","36,650"
Louisiana,All,"1,839,780",18.65,14.77,"38,780","30,730"
Louisiana,Construction/Extraction,"113,690",18.32,17.01,"38,110","35,380"
Maine,All,"575,640",19.32,15.63,"40,190","32,510"
Maine,Construction/Extraction,"25,270",18.36,17.50,"38,180","36,400"
Maryland,All,"2,480,670",24.93,19.45,"51,860","40,470"
Maryland,Construction/Extraction,"109,070",21.87,19.75,"45,500","41,080"
Massachusetts,All,"3,157,020",26.32,20.54,"54,740","42,730"
Massachusetts,Construction/Extraction,"92,530",26.79,25.09,"55,730","52,190"
Michigan,All,"3,829,000",21.01,16.47,"43,700","34,260"
Michigan,Construction/Extraction,"110,190",22.55,21.28,"46,910","44,260"
Minnesota,All,"2,595,450",22.19,17.54,"46,150","36,470"
Minnesota,Construction/Extraction,"78,690",24.55,23.62,"51,070","49,120"
Mississippi,All,"1,073,100",16.72,13.11,"34,770","27,270"
Mississippi,Construction/Extraction,"51,320",16.71,15.42,"34,760","32,080"
Missouri,All,"2,591,020",19.47,14.99,"40,500","31,170"
Missouri,Construction/Extraction,"93,290",23.12,22.16,"48,090","46,100"
Montana,All,"425,110",17.71,14.13,"36,840","29,390"
Montana,Construction/Extraction,"24,460",19.98,18.82,"41,550","39,140"
Nebraska,All,"904,630",18.82,14.82,"39,140","30,830"
Nebraska,Construction/Extraction,"37,370",18.46,16.64,"38,400","34,620"
Nevada,All,"1,112,780",20.13,15.70,"41,860","32,650"
Nevada,Construction/Extraction,"51,160",25.65,24.59,"53,350","51,150"
New Hampshire,All,"606,690",21.74,16.99,"45,220","35,330"
New Hampshire,Construction/Extraction,"19,470",20.46,19.08,"42,550","39,680"
New Jersey,All,"3,771,250",24.78,19.01,"51,540","39,530"
New Jersey,Construction/Extraction,"104,540",27.12,25.62,"56,400","53,300"
New Mexico,All,"777,640",19.61,14.92,"40,790","31,040"
New Mexico,Construction/Extraction,"50,910",18.43,16.87,"38,340","35,090"
New York,All,"8,427,560",25.39,19.02,"52,810","39,560"
New York,Construction/Extraction,"296,900",27.40,24.95,"57,000","51,900"
North Carolina,All,"3,814,860",19.83,15.16,"41,250","31,540"
North Carolina,Construction/Extraction,"133,100",17.05,15.77,"35,460","32,800"
North Dakota,All,"371,630",18.69,15.40,"38,870","32,040"
North Dakota,Construction/Extraction,"28,140",20.99,19.52,"43,660","40,590"
Ohio,All,"4,977,910",20.00,15.67,"41,590","32,590"
Ohio,Construction/Extraction,"154,010",21.21,20.25,"44,120","42,120"
Oklahoma,All,"1,498,260",18.36,14.26,"38,190","29,660"
Oklahoma,Construction/Extraction,"83,000",17.82,16.42,"37,060","34,150"
Oregon,All,"1,586,620",21.29,16.90,"44,290","35,140"
Oregon,Construction/Extraction,"55,920",23.10,21.66,"48,040","45,050"
Pennsylvania,All,"5,549,240",21.19,16.71,"44,070","34,750"
Pennsylvania,Construction/Extraction,"214,940",21.78,19.93,"45,300","41,450"
Rhode Island,All,"450,980",22.78,17.72,"47,390","36,870"
Rhode Island,Construction/Extraction,"14,230",22.95,21.50,"47,730","44,710"
South Carolina,All,"1,772,880",18.54,14.45,"38,560","30,050"
South Carolina,Construction/Extraction,"63,320",17.17,15.77,"35,720","32,810"
South Dakota,All,"392,670",17.01,13.78,"35,390","28,660"
South Dakota,Construction/Extraction,"20,290",16.27,14.98,"33,850","31,150"
Tennessee,All,"2,602,320",18.81,14.56,"39,130","30,270"
Tennessee,Construction/Extraction,"89,710",17.25,16.07,"35,890","33,420"
Texas,All,"10,304,370",20.72,15.44,"43,090","32,120"
Texas,Construction/Extraction,"524,230",17.89,15.87,"37,210","33,010"
Utah,All,"1,165,980",19.69,15.41,"40,950","32,050"
Utah,Construction/Extraction,"66,900",19.25,18.20,"40,030","37,860"
Vermont,All,"290,830",20.71,16.36,"43,080","34,030"
Vermont,Construction/Extraction,"13,530",19.29,18.00,"40,110","37,450"
Virginia,All,"3,553,360",23.50,17.45,"48,870","36,300"
Virginia,Construction/Extraction,"156,900",19.16,17.61,"39,850","36,620"
Washington,All,"2,720,660",24.17,19.30,"50,280","40,140"
Washington,Construction/Extraction,"111,730",25.42,24.38,"52,870","50,700"
West Virginia,All,"700,250",17.42,13.46,"36,220","27,990"
West Virginia,Construction/Extraction,"47,970",20.79,18.97,"43,240","39,450"
Wisconsin,All,"2,645,180",19.92,16.04,"41,420","33,350"
Wisconsin,Construction/Extraction,"85,740",22.96,21.68,"47,750","45,090"
Wyoming,All,"272,570",20.44,17.37,"42,510","36,140"
Wyoming,Construction/Extraction,"33,210",22.12,20.79,"46,010","43,230"
