,Occupation/Industry,2016_Total $,2016_Union $,2016_Non Union $,2017_Total $,2017_Union $,2017_Non Union $
0,Total full-time wage and salary workers,832,"1,004",802,860,"1,041",829
1,"Management, professional, and related occupations",1188,1166,1197,1224,1215,1227
2,"Management, business, and financial operations occupations",1284,1263,1285,1327,1276,1329
3,Management occupations,1370,1389,1368,1392,1349,1395
4,Business and financial operations occupations,1161,1146,1164,1174,1188,1174
5,Professional and related occupations,1141,1156,1140,1160,1199,1154
6,Computer and mathematical occupations,1443,1372,1458,1465,1375,1473
7,Architecture and engineering occupations,1482,1424,1490,1478,1479,1479
8,"Life, physical, and social science occupations",1209,1288,1195,1286,1297,1276
9,Community and social service occupations,919,1095,872,900,1035,866
10,Legal occupations,1431,1615,1419,1443,1550,1428
11,"Education, training, and library occupations",984,1130,887,1002,1157,900
12,"Arts, design, entertainment, sports, and media occupations",1040,1252,1028,1066,1354,1041
13,Healthcare practitioners and technical occupations,1104,1191,1087,1124,1244,1103
14,Service occupations,523,771,505,544,792,518
15,Healthcare support occupations,525,602,520,542,577,539
16,Protective service occupations,809,1088,694,852,1163,713
17,Food preparation and serving related occupations,465,597,459,484,594,479
18,Building and grounds cleaning and maintenance occupations,510,664,498,522,638,511
19,Personal care and service occupations,505,559,503,520,624,516
20,Sales and office occupations,698,810,686,718,829,710
21,Sales and related occupations,744,717,745,763,806,761
22,Office and administrative support occupations,679,826,661,701,834,688
23,"Natural resources, construction, and maintenance occupations",786,1127,735,801,1146,750
24,"Farming, fishing, and forestry occupations",520,-,518,539,-,533
25,Construction and extraction occupations,784,1153,719,796,1136,734
26,"Installation, maintenance, and repair occupations",861,1076,822,878,1187,822
27,"Production, transportation, and material moving occupations",665,881,631,692,922,662
28,Production occupations,668,841,641,701,895,678
29,Transportation and material moving occupations,662,913,622,681,949,640
30,,,,,,,
31,INDUSTRY,,,,,,
32,Private sector,801,937,789,829,984,816
33,Agriculture and related industries,572,-,571,599,-,599
34,Nonagricultural industries,806,937,793,833,986,820
35,"Mining, quarrying, and oil and gas extraction",1197,-,1190,1257,-,1263
36,Construction,822,1168,780,840,1163,797
37,Manufacturing,857,885,852,884,943,878
38,Durable goods,893,907,890,910,968,904
39,Nondurable goods,793,839,789,837,892,830
40,Wholesale and retail trade,676,701,675,705,758,702
41,Wholesale trade,871,921,868,903,979,899
42,Retail trade,623,645,622,656,721,653
43,Transportation and utilities,860,1033,808,888,1147,828
44,Transportation and warehousing,795,972,757,815,1053,781
45,Utilities,1264,1408,1242,1325,1432,1254
46,Information(4),1143,1238,1133,1154,1344,1142
47,"Publishing, except Internet",1094,-,1102,1171,-,1167
48,Motion pictures and sound recording industries,1085,-,1030,1189,-,1134
49,Radio and television broadcasting and cable subscription programming,1017,-,1020,973,-,959
50,Telecommunications,1182,1273,1153,1197,1195,1195
51,Financial activities,977,896,981,1009,943,1012
52,Finance and insurance,1039,818,1047,1076,980,1081
53,Finance,1089,-,1101,1125,-,1126
54,Insurance,977,-,980,1027,-,1032
55,Real estate and rental and leasing,827,977,817,839,918,833
56,Professional and business services,992,887,995,1037,1005,1038
57,Professional and technical services,1273,1309,1273,1347,1231,1349
58,"Management, administrative, and waste services",613,687,610,629,873,622
59,Education and health services,817,944,799,843,978,831
60,Educational services,936,967,931,957,1026,942
61,Health care and social assistance,785,929,771,810,928,800
62,Leisure and hospitality,528,670,522,547,676,538
63,"Arts, entertainment, and recreation",678,720,673,716,750,710
64,Accommodation and food services,504,642,501,513,636,510
65,Accommodation,582,698,564,598,685,588
66,Food services and drinking places,491,567,490,501,586,500
67,Other services(4),686,959,681,705,913,699
68,"Other services, except private households",708,965,703,722,924,717
69,Public sector,967,1070,900,986,1104,917
70,Federal government,1149,1093,1188,1176,1138,1213
71,State government,931,1022,883,955,1061,907
72,Local government,940,1089,817,949,1121,832
