State of incident,Number
All States Total,  367 
Alabama,  3 
Arizona,  5 
Arkansas,  4 
California,  32 
Colorado,  8 
Florida,  33 
Georgia,  16 
Hawaii,  3 
Illinois,  10 
Indiana,  7 
Iowa,  2 
Kentucky,  5 
Louisiana,  5 
Maryland,  11 
Massachusetts,  14 
Michigan,  11 
Minnesota,  3 
Missouri,  3 
Nevada,  3 
New Jersey,  8 
New York (including N.Y.C.),  29 
New York City,  10 
North Carolina,  11 
Ohio,  12 
Oklahoma,  5 
Pennsylvania,  12 
South Carolina,  7 
Tennessee,  11 
Texas,  42 
Utah,  3 
Virginia,  13 
Washington,  10 
Wisconsin,  5 
,
Employee status,
,
Wage and salary workers2,  278 
Self-employed3,  89 
,
Gender,
,
Women,  1 
Men,  366 
,
Age,
,
16 to 17 years,  1 
20 to 24 years,  13 
25 to 34 years,  64 
35 to 44 years,  60 
45 to 54 years,  82 
55 to 64 years,  92 
65 years and over,  54 
,
Race or ethnic origin4,
,
White (non-Hispanic),  195 
Black or African-American (non-Hispanic),  8 
Hispanic or Latino,  142 
American Indian or Alaskan Native (non-Hispanic),  6 
Asian (non-Hispanic),  10 
Native Hawaiian or Pacific Islander (non-Hispanic),  3 
Other races or not reported (non-Hispanic),  3 
,
Event or exposure 20115,
,
"Fall, slip, trip",  367 
Fall to lower level,  367 
"Fall from collapsing structure or 
     equipment",  26 
"Fall from collapsing structure or 
     equipment 11 to 15 feet",  7 
"Fall from collapsing structure or 
     equipment 16 to 20 feet",  2 
"Fall from collapsing structure or 
     equipment 21 to 25 feet",  3 
"Fall from collapsing structure or 
     equipment more than 30 feet",  7 
Fall through surface or existing opening,  59 
"Fall through surface or existing 
     opening 6 to 10 feet",  4 
"Fall through surface or existing 
     opening 11 to 15 feet",  8 
"Fall through surface or existing 
     opening 16 to 20 feet",  14 
"Fall through surface or existing 
     opening 21 to 25 feet",  7 
"Fall through surface or existing 
     opening 26 to 30 feet",  7 
"Fall through surface or existing 
     opening more than 30 feet",  17 
Other fall to lower level,  274 
"Other fall to lower level less than 6 
     feet",  10 
Other fall to lower level 6 to 10 feet,  37 
"Other fall to lower level 11 to 15 
     feet",  69 
"Other fall to lower level 16 to 20 
     feet",  40 
"Other fall to lower level 21 to 25 
     feet",  31 
"Other fall to lower level 26 to 30 
     feet",  21 
"Other fall to lower level more than 
     30 feet",  40 
,
Primary source 20116,
,
Machinery,  10 
Material and personnel handling machinery,  8 
"Elevators, hoists, aerial lifts, 
     personnel platforms except truck-mounted",  8 
"Aerial lifts, scissor lifts except 
     truck-mounted",  8 
,
Structures and surfaces,  253 
Confined spaces7,  3 
Building,  5 
Industrial building,  3 
Warehouse,  1 
"Factory, manufacturing plant",  1 
Structures other than buildings,  70 
Scaffolds staging,  51 
Scaffolds improvised staging,  7 
Scaffolds self-supporting staging,  15 
"Scaffolds staging supported by 
     structure or other means",  5 
Scaffolds suspended staging,  5 
Catwalks,  1 
"Towers, poles",  5 
"Telecommunications and cell phone 
     towers",  5 
Other structures,  12 
"Porches, balconies, decks, patios",  10 
Other structural elements,  143 
Entrances and exits,  1 
"Doors, except garage and vehicle",  1 
Roofs,  121 
Skylights,  18 
"Existing roof openings, other than 
     skylights",  10 
Roof surfaces other than roof edge,  14 
Roof edges,  56 
"Trusses, girders, beams structurally 
     attached",  11 
"Girders, beams, structural steel",  5 
"Roof trusses, joists",  6 
Elevator shafts,  7 
"Floors, walkways, ground surfaces",  31 
"Stairs, steps",  8 
"Stairs, steps indoors",  3 
"Stairs, steps outdoors",  4 
Floor,  18 
Existing floor opening,  11 
Parking lot,  1 
Parking lot paved,  1 
,
